 RESIDUALS IN EARTH-FIXED SYSTEM

 FILE 1: ${P}/b10121\ORB\brd15823.sp3                                           
 FILE 2: ${P}/b10121\ORB\igs15823.sp3                                           



 ---------------------------------------------------------------------
 | NUM |      NAME        | FLG |       RESIDUALS IN METERS      |   |
 |   3 | 55321.104166667  | P P |     4.4655    0.1977    3.1644 |   |
 |   4 | 55321.104166667  | P P |    -2.6305   -0.8179   -4.4866 |   |
 |   5 | 55321.104166667  | P P |    -3.7562    1.4385    0.8879 |   |
 |   6 | 55321.104166667  | P P |     4.5559    2.2085    2.6702 |   |
 |   7 | 55321.104166667  | P P |     0.6783   -4.0769    1.7095 |   |
 |   8 | 55321.104166667  | P P |    -1.9649   -0.5759    4.5743 |   |
 |   9 | 55321.104166667  | P P |    -1.1832    6.2249   -2.0627 |   |
 |  10 | 55321.104166667  | P P |    -4.5891   -0.8061   -2.5918 |   |
 |  11 | 55321.104166667  | P P |     2.4568   -5.4673    1.3860 |   |
 |  12 | 55321.104166667  | P P |    -1.2917    1.9942   -3.1773 |   |
 |  13 | 55321.104166667  | P P |    -1.4268   -5.3138   -2.3407 |   |
 |  14 | 55321.104166667  | P P |     4.1838    3.7754   -1.9500 |   |
 |  15 | 55321.104166667  | P P |    -1.8871    1.2725    3.0709 |   |
 |  16 | 55321.104166667  | P P |     6.2982   -0.2386   -0.4927 |   |
 |  17 | 55321.104166667  | P P |    -2.3137   -3.2726   -1.3552 |   |
 |  18 | 55321.104166667  | P P |     1.8335    3.7156    4.1270 |   |
 |  19 | 55321.104166667  | P P |     3.2290   -1.1400    2.8618 |   |
 |  20 | 55321.104166667  | P P |     4.0133   -3.4038   -3.6020 |   |
 |  21 | 55321.104166667  | P P |     0.4347    5.3062    2.2762 |   |
 |  22 | 55321.104166667  | P P |     3.2162    1.3796    2.7095 |   |
 |  23 | 55321.104166667  | P P |     0.1328   -3.6112   -2.5964 |   |
 |  24 | 55321.104166667  | P P |     1.8422    4.6724    2.8561 |   |
 |  26 | 55321.104166667  | P P |    -0.8769    3.0090    3.7654 |   |
 |  27 | 55321.104166667  | P P |    -2.6657    4.3756    1.6977 |   |
 |  28 | 55321.104166667  | P P |    -4.1194   -2.1245    2.9838 |   |
 |  29 | 55321.104166667  | P P |     0.9828    3.4773   -2.9531 |   |
 |  30 | 55321.104166667  | P P |    -1.1317    2.0676   -5.1628 |   |
 |  31 | 55321.104166667  | P P |     1.3361    1.8958   -4.0937 |   |
 |  32 | 55321.104166667  | P P |     4.4610   -2.7240   -2.8912 |   |
 |   1 | 55321.114583333  | P P |  -100.9243  -62.9307   88.1362 |   |
 |   2 | 55321.114583333  | P P |    -2.3082   -0.4232   -3.7179 |   |
 |   3 | 55321.114583333  | P P |     4.6448    0.3176    2.9211 |   |
 |   4 | 55321.114583333  | P P |    -2.3326   -1.4919   -4.4817 |   |
 |   5 | 55321.114583333  | P P |    -3.8942    1.2773    0.3276 |   |
 |   6 | 55321.114583333  | P P |     4.6943    2.4403    2.1754 |   |
 |   7 | 55321.114583333  | P P |     1.0281   -4.3261    1.0605 |   |
